source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,repro,flower_n,flower_n_int
M08_69_2021,2.66,grow,Maguey,8,69,2.765360824742268,t1,1,0.9783261227936078,1.0171711236545904,49,0,0,0
M08_69_2021,3.02,grow,Maguey,8,69,5.6615463917525775,t1,1,1.1052568313867783,1.73369706898948,50,0,0,0
M08_69_2021,49.58,grow,Maguey,8,69,58.595876288659795,t1,1,3.9035875266070446,4.070664323606161,51,0,0,0
M08_69_2021,42,grow,Maguey,8,69,48.47969072164948,t1,1,3.7376696182833684,3.88114496223678,52,0,0,0
M08_69_2021,40.32,grow,Maguey,8,69,45.49773195876289,t1,1,3.696847623763113,3.8176624776543426,53,0,0,0
M08_69_2021,18.94,grow,Maguey,8,69,21.61917525773196,t1,1,2.9412760877579323,3.0735806642925034,54,0,0,0
M08_69_2021,5.88,grow,Maguey,8,69,9.50742268041237,t1,1,1.7715567619105355,2.2520728283036298,55,0,0,0
M08_69_2021,1.71,grow,Maguey,8,69,1.9809278350515462,t1,1,0.5364933705145685,0.68356533850747,56,0,0,0
M08_69_2021,34.4,grow,Maguey,8,69,45.763917525773195,t1,1,3.5380565643793527,3.8234959536732154,57,0,0,0
M08_69_2021,3.17,grow,Maguey,8,69,5.03639175257732,t1,1,1.1537315878891892,1.6166899035809907,58,0,0,0
M08_69_2021,2.91,grow,Maguey,8,69,4.746288659793814,t1,1,1.0681530811834012,1.55736297786519,59,0,0,0
M08_69_2021,8.96,grow,Maguey,8,69,19.22515463917526,t1,1,2.192770226986839,2.956219559009566,60,0,0,0
M08_69_2021,1.06,grow,Maguey,8,69,2.7758762886597936,t1,1,0.058268908123975824,1.0209664770477058,61,0,0,0
M08_69_2021,4.72,grow,Maguey,8,69,6.97020618556701,t1,1,1.5518087995974639,1.941644806195301,62,0,0,0
M08_69_2021,19.99,grow,Maguey,8,69,24.919381443298967,t1,1,2.995232148512309,3.2156458719137158,63,0,0,0
M08_69_2021,7.48,grow,Maguey,8,69,8.955051546391752,t1,1,2.012232791986386,2.192217791653758,64,0,0,0
M08_69_2021,1.97,grow,Maguey,8,69,2.8429896907216494,t1,1,0.6780335427498971,1.0448562064651896,65,0,0,0
M08_69_2021,19.26,grow,Maguey,8,69,26.507319587628867,t1,1,2.9580304063699794,3.277420905706901,66,0,0,0
M08_69_2021,19.18,grow,Maguey,8,69,22.513917525773195,t1,1,2.953868069455292,3.1141336746840618,67,0,0,0
M08_69_2021,6.39,grow,Maguey,8,69,8.647731958762886,t1,1,1.8547342683894434,2.157297085263929,68,0,0,0
M08_69_2021,12.55,grow,Maguey,8,69,20.30154639175258,t1,1,2.529720665577793,3.010697060080051,69,0,0,0
M08_69_2021,24.22,grow,Maguey,8,69,29.71381443298969,t1,1,3.1871787381249463,3.391612070091995,70,0,0,0
M08_69_2021,4.76,grow,Maguey,8,69,7.09298969072165,t1,1,1.5602476682433286,1.9591069287748852,71,0,0,0
M08_69_2021,9.59,grow,Maguey,8,69,12.71319587628866,t1,1,2.2607208888953467,2.5426404994075895,72,0,0,0
M08_69_2021,8.92,grow,Maguey,8,69,14.594432989690723,t1,1,2.188295946591918,2.6806401539241915,73,0,0,0
M08_69_2021,32.37,grow,Maguey,8,69,52.817525773195875,t1,1,3.4772320679381528,3.966843063159112,74,0,0,0
M08_69_2021,48.19,grow,Maguey,8,69,59.18515463917525,t1,1,3.8751515306522415,4.0806707442127035,75,0,0,0
M08_69_2021,11.03,grow,Maguey,8,69,17.17103092783505,t1,1,2.400618833265411,2.843223715496839,76,0,0,0
M08_69_2021,8.5,grow,Maguey,8,69,13.880927835051548,t1,1,2.1400661634962708,2.630515799750235,77,0,0,0
M08_69_2021,12.57,grow,Maguey,8,69,13.164536082474227,t1,1,2.531313022602156,2.577526553624316,78,0,0,0
M08_69_2021,8.37,grow,Maguey,8,69,18.138453608247424,t1,1,2.124653884501384,2.8980341934372977,79,0,0,0
