basin,date,lat,lon,gear,sci_name,species,n
Calcasieu,1992-01-30,29.83472,-93.37306,Gillnet,Archosargus Probatocephalus,Sheepshead,1
Calcasieu,1992-03-26,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,1992-03-26,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,1992-04-22,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1992-05-13,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,9
Calcasieu,1992-05-20,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,16
Calcasieu,1992-06-04,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,4
Calcasieu,1992-06-24,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,1992-06-24,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1992-07-22,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1992-08-17,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,1992-08-27,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,1992-08-27,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1992-08-27,29.83472,-93.37306,Gillnet,Micropogonias Undulatus,Atlantic Croaker,1
Calcasieu,1992-08-27,29.83472,-93.37306,Gillnet,Pogonias Cromis,Black Drum,4
Calcasieu,1992-09-24,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1992-10-19,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1993-03-23,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1993-04-12,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1993-04-27,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,1993-04-27,29.83472,-93.37306,Gillnet,Micropogonias Undulatus,Atlantic Croaker,1
Calcasieu,1993-07-13,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1993-07-13,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,4
Calcasieu,1993-08-04,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,1993-08-18,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1993-09-08,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1993-10-11,29.83472,-93.37306,Gillnet,Cynoscion Nebulosus,Spotted Seatrout,1
Calcasieu,1993-10-11,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,35
Calcasieu,1993-11-18,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,1994-04-21,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,6
Calcasieu,1994-04-27,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1994-05-23,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,1994-06-20,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,1994-06-20,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,9
Calcasieu,1994-06-20,29.83472,-93.37306,Gillnet,Pogonias Cromis,Black Drum,1
Calcasieu,1994-07-18,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,11
Calcasieu,1994-08-17,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1994-08-22,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1994-09-20,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,1994-10-19,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1994-12-07,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1995-01-31,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,1995-01-31,29.83472,-93.37306,Gillnet,Mugil Cephalus,Striped Mullet,1
Calcasieu,1995-03-23,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,23
Calcasieu,1995-04-12,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1995-04-12,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,1995-04-25,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1995-05-24,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,1995-05-24,29.83472,-93.37306,Gillnet,Cynoscion Nebulosus,Spotted Seatrout,1
Calcasieu,1995-06-19,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,1995-07-19,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1995-10-09,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,1995-12-12,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1995-12-12,29.83472,-93.37306,Gillnet,Mugil Cephalus,Striped Mullet,1
Calcasieu,1996-01-22,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,1996-03-28,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1996-04-16,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1996-05-08,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,10
Calcasieu,1996-05-21,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,7
Calcasieu,1996-06-04,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,1996-06-04,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,30
Calcasieu,1996-06-12,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,1996-07-09,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,7
Calcasieu,1996-08-07,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1996-09-11,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1996-10-09,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1996-12-13,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,1997-05-29,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,1997-05-30,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,14
Calcasieu,1997-06-11,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1997-06-11,29.83472,-93.37306,Gillnet,Mugil Cephalus,Striped Mullet,1
Calcasieu,1997-06-19,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,9
Calcasieu,1997-07-07,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,6
Calcasieu,1997-07-29,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,9
Calcasieu,1997-09-08,29.83472,-93.37306,Gillnet,Erroneous Entry,Erroneous Entry,1
Calcasieu,1997-09-29,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
