basin,date,lat,lon,gear,sci_name,species,n
Calcasieu,1992-01-06,30.05722,-93.31639,Otter trawl,Anchoa Mitchilli,Bay Anchovy,909
Calcasieu,1992-01-06,30.05722,-93.31639,Otter trawl,Leiostomus Xanthurus,Spot,6
Calcasieu,1992-01-06,30.05722,-93.31639,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,187
Calcasieu,1992-01-06,30.05722,-93.31639,Otter trawl,Mugil Cephalus,Striped Mullet,1
Calcasieu,1992-01-06,30.05722,-93.31639,Otter trawl,Penaeus Setiferus,White Shrimp,4
Calcasieu,1992-01-06,30.05722,-93.31639,Otter trawl,Pogonias Cromis,Black Drum,4
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Anchoa Mitchilli,Bay Anchovy,6
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Archosargus Probatocephalus,Sheepshead,4
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Callinectes Sapidus,Blue Crab,4
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Leiostomus Xanthurus,Spot,4
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,253
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Mugil Cephalus,Striped Mullet,25
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Palaemonetes Vulgaris,Grass Shrimp,348
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Paralichthys Lethostigma,Southern Flounder,9
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Penaeus Setiferus,White Shrimp,1
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Pogonias Cromis,Black Drum,9
Calcasieu,1992-01-21,30.05722,-93.31639,Otter trawl,Sciaenops Ocellatus,Red Drum,16
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Anchoa Mitchilli,Bay Anchovy,24
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Archosargus Probatocephalus,Sheepshead,110
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Callinectes Sapidus,Blue Crab,1
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Gobiosoma Bosci,Naked Goby,4
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Ictalurus Furcatus,Blue Catfish,1
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Leiostomus Xanthurus,Spot,1
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Lepomis Macrochirus,Bluegill,1
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,63
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Mugil Cephalus,Striped Mullet,99
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Palaemonetes Vulgaris,Grass Shrimp,100
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Pogonias Cromis,Black Drum,6
Calcasieu,1992-02-06,30.05722,-93.31639,Otter trawl,Symphurus Plagiusa,Blackcheek Tonguefish,4
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Anchoa Mitchilli,Bay Anchovy,15
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Archosargus Probatocephalus,Sheepshead,120
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Brevoortia Patronus,Gulf Menhaden,1
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Crassostrea Virginica,Eastern Oyster,9
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Leiostomus Xanthurus,Spot,4
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,656
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Palaemonetes Vulgaris,Grass Shrimp,549
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Penaeus Setiferus,White Shrimp,1
Calcasieu,1992-02-19,30.05722,-93.31639,Otter trawl,Pogonias Cromis,Black Drum,80
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Anchoa Mitchilli,Bay Anchovy,44
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Archosargus Probatocephalus,Sheepshead,6
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Callinectes Sapidus,Blue Crab,24
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Cynoscion Nebulosus,Spotted Seatrout,1
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Leiostomus Xanthurus,Spot,6
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Macrobrachium ohione,River Shrimp,1
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,3105
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Palaemonetes Vulgaris,Grass Shrimp,255
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Paralichthys Lethostigma,Southern Flounder,4
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Penaeus Setiferus,White Shrimp,1
Calcasieu,1992-03-02,30.05722,-93.31639,Otter trawl,Pogonias Cromis,Black Drum,16
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Anchoa Mitchilli,Bay Anchovy,20
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Aplodinotus Grunniens,Freshwater Drum,1
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Archosargus Probatocephalus,Sheepshead,12
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Callinectes Sapidus,Blue Crab,12
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Crassostrea Virginica,Eastern Oyster,2
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Gobionellus Shufeldti,Freshwater Goby,1
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Gobiosoma Bosci,Naked Goby,4
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Ictalurus Furcatus,Blue Catfish,4
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Macrobrachium ohione,River Shrimp,24
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,850
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Palaemonetes Vulgaris,Grass Shrimp,592
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Penaeus Setiferus,White Shrimp,1
Calcasieu,1992-03-12,30.05722,-93.31639,Otter trawl,Pogonias Cromis,Black Drum,1
