source_id,area1,area2,action,location,site,plot,survival,log_size,log_size_next,id,transition,repro,flower_n,flower_n_int
M08_69_2022,22.6,25.03,grow,Maguey,8,69,1,3.1179499062782403,3.2200751054436827,50,t2,0,0,0
M08_69_2022,26.54,32.59,grow,Maguey,8,69,1,3.2786530289040616,3.4840054928494704,51,t2,0,0,0
M08_69_2022,7.82,13.34,grow,Maguey,8,69,1,2.05668455455722,2.590767040487478,52,t2,0,0,0
M08_69_2022,16.05,17.61,grow,Maguey,8,69,1,2.775708849576025,2.8684669225081145,53,t2,0,0,0
M08_69_2022,17.8,22.53,grow,Maguey,8,69,1,2.8791984572980396,3.114847754444153,54,t2,0,0,0
M08_69_2022,7.16,8.31,grow,Maguey,8,69,1,1.9685099809725544,2.1174596088673567,55,t2,0,0,0
M08_69_2022,7.43,10.3,grow,Maguey,8,69,1,2.005525858729668,2.33214389523559,56,t2,0,0,0
M08_69_2022,44.99,48.51,grow,Maguey,8,69,1,3.806440242853081,3.8817699622571253,57,t2,0,0,0
M08_69_2022,25.91,29.18,grow,Maguey,8,69,1,3.2546289945740186,3.3734835430946397,58,t2,0,0,0
M08_69_2022,49.97,60.53,grow,Maguey,8,69,1,3.9114228253561136,4.103139109903596,59,t2,0,0,0
M08_69_2022,2.14,4.51,grow,Maguey,8,69,1,0.7608058290337602,1.506297153514587,60,t2,0,0,0
M08_69_2022,21.35,29.62,grow,Maguey,8,69,1,3.0610517396746335,3.3884498088396526,61,t2,0,0,0
M08_69_2022,34.04,43.16,grow,Maguey,8,69,1,3.5275363037051735,3.764914140389934,62,t2,0,0,0
M08_69_2022,53.11,60.39,grow,Maguey,8,69,1,3.972365234434308,4.10082352831981,63,t2,0,0,0
M08_69_2022,49.8,60.23,grow,Maguey,8,69,1,3.9080149840306073,4.09817056705563,64,t2,0,0,0
M08_69_2022,50.81,56.67,grow,Maguey,8,69,1,3.9280931856056407,4.037244970181528,65,t2,0,0,0
M08_69_2022,64.02,83.16,grow,Maguey,8,69,1,4.159195534541717,4.420766462989812,66,t2,0,0,0
M08_69_2022,15.95,23.31,grow,Maguey,8,69,1,2.7694588292308535,3.1488824530476656,67,t2,0,0,0
M08_69_2022,2.75,4.06,grow,Maguey,8,69,1,1.0116009116784799,1.4011829736136412,68,t2,0,0,0
M08_69_2022,6.03,8.83,grow,Maguey,8,69,1,1.7967470107390942,2.178155014615869,69,t2,0,0,0
M08_69_2022,4.62,7.18,grow,Maguey,8,69,1,1.5303947050936475,1.9712993830601329,70,t2,0,0,0
M08_69_2022,26.41,34.02,grow,Maguey,8,69,1,3.273742726309041,3.5269485869677157,71,t2,0,0,0
M08_69_2022,11.36,17.48,grow,Maguey,8,69,1,2.4300984132930052,2.8610573702273894,72,t2,0,0,0
M08_69_2022,31.16,35.6,grow,Maguey,8,69,1,3.4391352210025476,3.572345637857985,73,t2,0,0,0
M08_69_2022,18.74,27.92,grow,Maguey,8,69,1,2.930660276810276,3.329343277894172,74,t2,0,0,0
M08_69_2022,38.1,47.52,grow,Maguey,8,69,1,3.6402142821326553,3.8611506750543896,75,t2,0,0,0
M08_69_2022,6.98,7.5,grow,Maguey,8,69,1,1.9430489167742813,2.0149030205422647,76,t2,0,0,0
M08_69_2022,12.69,15.48,grow,Maguey,8,69,1,2.540814281726296,2.739548868161581,77,t2,0,0,0
M08_69_2022,10.73,15.77,grow,Maguey,8,69,1,2.373043556642607,2.758109400974947,78,t2,0,0,0
M08_69_2022,20.66,22.03,grow,Maguey,8,69,1,3.0281994636914926,3.092405160814252,79,t2,0,0,0
M08_69_2022,4.15,5.38,grow,Maguey,8,69,1,1.423108334242607,1.682688374173693,80,t2,0,0,0
M08_69_2022,25.22,27.19,grow,Maguey,8,69,1,3.2276373305367736,3.3028492586443794,81,t2,0,0,0
M08_69_2022,6.46,8.01,grow,Maguey,8,69,1,1.8656293177945105,2.080690761080268,82,t2,0,0,0
M08_69_2022,7.79,9.47,grow,Maguey,8,69,1,2.052840859882657,2.248128907197987,83,t2,0,0,0
M08_69_2022,14.53,23.45,grow,Maguey,8,69,1,2.6762154775821916,3.1548704948922883,84,t2,0,0,0
M08_69_2022,16.4,18.55,grow,Maguey,8,69,1,2.797281334830153,2.920469789053444,85,t2,0,0,0
M08_69_2022,1.61,2.64,grow,Maguey,8,69,1,0.4762341789963717,0.9707789171582248,86,t2,0,0,0
M08_69_2022,9.36,11.71,grow,Maguey,8,69,1,2.2364452904895007,2.460443177609626,87,t2,0,0,0
M08_69_2022,8.1,12.35,grow,Maguey,8,69,1,2.0918640616783932,2.513656063073986,88,t2,0,0,0
M08_69_2022,139.78,155.03,grow,Maguey,8,69,1,4.940069758048983,5.04361864657827,89,t2,1,0.5324635568542944,1
M08_69_2022,5.35,10.35,grow,Maguey,8,69,1,1.6770965609079151,2.336986519711378,90,t2,0,0,0
