source_id,site,plot,area1,action,location,area2,transition,survival,log_size,log_size_next,id,repro,flower_n,flower_n_int,cytes_per_polyp,polyps_per_cm2,seeds_exp,seeds_pois,totaloocytes
T23_48_2021,23,48,6.93,n/s,Tampico,8.013711340206186,t1,1,1.9358598132018119,2.0811539921250306,42,0,0,0,1.6976596674876092,18.88495142962312,0,0,0
T24_32_2021,24,32,25.31,grow,Tampico,45.32855670103093,t1,1,3.2311995745570328,3.813937224627438,43,0,0,0,1.46427099490604,19,0,0,0
T24_32_2021,24,32,33.16,grow,Tampico,49.97257731958763,t1,1,3.501344330267094,3.9114744013642038,44,0,0,0,0.383517133952964,17,0,0,0
T24_32_2021,24,32,131.11,grow,Tampico,150.11257731958764,t1,1,4.876036665511311,5.011385528064278,45,0,0,0,0.7153343191380926,19,0,0,0
T35_01_2021,35,1,11.25,n/s,Tampico,17.41901408450704,t1,1,2.4203681286504293,2.8575623730665023,46,0,0,0,1.1505604506735687,17,0,0,0
T35_02_2021,35,2,21.72,grow,Tampico,33.860962441314555,t1,1,3.0782334950657346,3.5222628004390866,47,0,0,0,0.6604203820877012,19,0,0,0
T35_02_2021,35,2,33.24,grow,Tampico,44.65267605633803,t1,1,3.5037539699872475,3.7989142395990534,48,0,0,0,1.2852953666080391,19,0,0,0
T35_03_2021,35,3,15.69,n/s,Tampico,26.42579812206573,t1,1,2.753023566744941,3.274340734595015,49,0,0,0,0.7952268738669409,18.03081147209056,0,0,0
T37_18_2021,37,18,16.91,grow,Tampico,39.74,t1,1,2.827905162910489,3.6823582371236707,50,0,0,0,1.7564633362974345,17,0,0,0
T39_38_2021,39,38,4.51,n/s,Tampico,5.812347417840376,t1,1,1.506297153514587,1.7599845198747903,51,0,0,0,0.8322065272234199,18.633181630554013,0,0,0
T43_22_2021,43,22,27.56,n/s,Tampico,29.900515463917525,t1,1,3.3163654461454577,3.3978757198439444,52,0,0,0,0.2639040076548892,17,0,0,0
T43_23_2021,43,23,14.850000000000001,n/s,Tampico,27.23086854460094,t1,1,2.697999865248709,3.3043512027837005,53,0,0,0,1.3682035706087103,19,0,0,0
T43_23_2021,43,23,14.049999999999999,n/s,Tampico,29.2669014084507,t1,1,2.6426223957797546,3.376457232730682,54,0,0,0,0.9755427626735271,19,0,0,0
T43_23_2021,43,23,68.93,grow,Tampico,65.97401408450705,t1,1,4.23309149689756,4.189260938503678,55,0,0,0,0.8362326503885993,17,0,0,0
T43_23_2021,43,23,67.25999999999999,grow,Tampico,91.76469483568076,t1,1,4.208565706312124,4.519227635806957,56,0,0,0,1.5447490231227512,18.526618402307708,0,0,0
T43_23_2021,43,23,327.43,grow,Tampico,363.9557042253521,t1,1,5.791274291771544,5.897032168543113,57,1,1.8544644472700054,2,1.570889531036737,19,6.118282017879478,5,6
T43_24_2021,43,24,37.629999999999995,n/s,Tampico,45.66,t1,1,3.6278016046053456,3.821222641101649,58,0,0,0,1.7925686220653292,19,0,0,0
T45_25_2021,45,25,11.55,grow,Tampico,20.445463917525775,t1,1,2.446685436967803,3.017761044560674,59,0,0,0,1.0548650177508536,17.465838365128374,0,0,0
M08_69_2021,8,69,5.42,n/s,Maguey,9.890309278350514,t1,1,1.6900958154515549,2.2915554169707955,60,0,0,0,0.1279443921489144,19,0,0,0
M08_69_2021,8,69,107.76,n/s,Maguey,47.51618556701031,t1,1,4.679906532102109,3.8610704017780795,61,0,0,0,0.5166439848470692,19,0,0,0
M08_70_2021,8,70,20.73,n/s,Maguey,29.497525773195875,t1,1,3.0315819264476884,3.3843063877332584,62,0,0,0,1.37928228462241,17.089114711381782,0,0,0
M08_70_2021,8,70,22.53,n/s,Maguey,17.194226804123712,t1,1,3.114847754444153,2.8445736765529883,63,0,0,0,1.059352477720316,18.90638267172004,0,0,0
M08_70_2021,8,70,49.2,n/s,Maguey,47.604536082474226,t1,1,3.8958936234982624,3.862928052547312,64,0,0,0,1.5246106804287238,19,0,0,0
M08_71_2021,8,71,20.03,shrink,Maguey,21.57278350515464,t1,1,2.997231149677727,3.0714324972842864,65,0,0,0,0.10440217798534102,17.74240501145181,0,0,0
M08_71_2021,8,71,84.49,n/s,Maguey,74.72154639175258,t1,1,4.436633184164753,4.313768489527532,66,1,1.4206853433452287,1,0.31508198858538183,18.876102436268265,0.31459585086998637,0,0
M08_72_2021,8,72,37.99,n/s,Maguey,32.67680412371134,t1,1,3.6373229671995344,3.486665472177663,67,0,0,0,0.8871844183397033,17,0,0,0
M08_72_2021,8,72,39.43,n/s,Maguey,26.28247422680412,t1,1,3.674526947889536,3.268902337845438,68,0,0,0,1.4026707186468697,19,0,0,0
M08_72_2021,8,72,77.98,n/s,Maguey,75.28577319587629,t1,1,4.356452383554451,4.321291181973663,69,0,0,0,1.3989796957067067,19,0,0,0
M10_82_2021,10,82,286.28,n/s,Maguey,175.0064084507042,t1,1,5.656970352870396,5.164822592971339,70,0,0,0,1.3909275835184376,17.692922056302976,0,0,0
M10_83_2021,10,83,30.33,shrink,Maguey,9.415328638497655,t1,1,3.4121373217004898,2.242339067341414,71,0,0,0,1.1217398776724903,19,0,0,0
M10_84_2021,10,84,12.35,n/s,Maguey,17.953521126760563,t1,1,2.513656063073986,2.88778625874756,72,0,0,0,1.3124026919588383,17,0,0,0
M10_84_2021,10,84,50.86,n/s,Maguey,65.60565727699532,t1,1,3.9290767599939738,4.183661931210263,73,0,0,0,2.3754755939842527,17,0,0,0
M12_53_2021,12,53,43.82,shrink,Maguey,40.230206185567006,t1,1,3.7800903341673204,3.694618111118014,74,0,0,0,2.628321382670287,17.89807240608011,0,0,0
M12_53_2021,12,53,70.74,shrink,Maguey,72.86226804123712,t1,1,4.259011183777335,4.2885709198529565,75,1,1.3638077602475913,1,0.3769797717480299,17,0.28382052635825894,0,0
M12_53_2021,12,53,130.8,n/s,Maguey,131.80845360824742,t1,1,4.873669439023098,4.881349759679584,76,1,1.5606317793056834,2,0.22679745995532552,17,0.3157232966048948,1,0
M12_56_2021,12,56,56.64,shrink,Maguey,55.13484536082474,t1,1,4.036715449385464,4.009781918469694,77,0,0,0,1.3078179414505016,19,0,0,0
M12_56_2021,12,56,63.81,shrink,Maguey,66.60958762886598,t1,1,4.155909917880256,4.19884852557671,78,0,0,0,0.831615581961033,19,0,0,0
M12_56_2021,12,56,71.89,shrink,Maguey,55.002164948453604,t1,1,4.27513717299578,4.007372547156937,79,1,1.368971576046328,1,1.1683870393512361,17,0.8939555251753485,1,1
M12_56_2021,12,56,105.61,shrink,Maguey,99.71731958762886,t1,1,4.659753063758383,4.602339378908108,80,0,0,0,0.49456723292481664,17,0,0,0
M12_56_2021,12,56,554.99,shrink,Maguey,259.5055670103093,t1,1,6.31895009556609,5.558778155209397,81,1,2.023435207161654,2,0.5608643644345197,19,3.702613524861267,5,4
M15_64_2021,15,64,104.6,n/s,Maguey,108.98752577319588,t1,1,4.650143551630823,4.691233433232363,82,0,0,0,0.47078765851452214,19,0,0,0
M38_58_2021,38,58,95.32,shrink,Maguey,54.93866197183098,t1,1,4.557239652230542,4.006217326017279,83,0,0,0,0.14225632221124562,19,0,0,0
M38_59_2021,38,59,10.06,n/s,Maguey,16.133298969072165,t1,1,2.3085671646715933,2.7808853950360195,84,0,0,0,1.033199193991549,19,0,0,0
M43_65_2021,43,65,229.29,n/s,Maguey,247.3343661971831,t1,1,5.434987577922902,5.510741130489944,85,0,0,0,1.3080573739515187,17,0,0,0
M43_68_2021,43,68,220.57,shrink,Maguey,208.8488732394366,t1,1,5.396215104824496,5.341610895857703,86,0,0,0,1.367271427206123,17.80336656216703,0,0,0
M48_50_2021,48,50,15.08,shrink,Maguey,13.168453608247424,t1,1,2.71336936257981,2.577824091112319,87,0,0,0,1.4957672470488204,17,0,0,0
M48_50_2021,48,50,335.49,shrink,Maguey,263.0243298969072,t1,1,5.815592149708206,5.572246537012776,88,1,1.8622514386479438,2,1.4575154101963912,17,5.20419346899532,3,5
M48_52_2021,48,52,50.13,n/s,Maguey,35.6880412371134,t1,1,3.914619631275412,3.5748156533149116,89,0,0,0,0.3615997912364209,17,0,0,0
T01_15_2021,1,15,83.78,shrink,Tampico,55.91661971830986,t1,1,4.428194315518889,4.02386164757039,90,1,1.417983074191586,1,1.7879408243341068,17.954032393038162,1.6837099499231996,2,2
T01_15_2021,1,15,194.13,n/s,Tampico,141.5648591549296,t1,1,5.268528037737284,4.952757980650577,91,1,1.687072212986181,2,0.2709596353065249,19,0.6256949239855105,1,1
T04_05_2021,4,5,201.93,shrink,Tampico,71.17260563380282,t1,1,5.307921102690732,4.26510799204753,92,1,1.6996865418445057,2,1.2206762366192374,18.90669649804983,2.9176202540558553,3,3
T04_06_2021,4,6,21.34,n/s,Tampico,12.549154929577464,t1,1,3.060583245873607,2.529653327021955,93,0,0,0,1.326584070992094,19,0,0,0
T04_06_2021,4,6,58.67,shrink,Tampico,41.970821596244136,t1,1,4.071928522937768,3.7369746529519454,94,0,0,0,1.3232456126654812,18.26942556223171,0,0,0
T04_08_2021,4,8,137.83,shrink,Tampico,127.61685446009389,t1,1,4.926021041706347,4.8490324504330555,95,1,1.5773956521672454,2,0.4606783217503307,19,0.7552781315997162,1,1
T04_08_2021,4,8,224.96,n/s,Tampico,224.45448356807512,t1,1,5.4159226086223,5.413672940827381,96,1,1.7342704594610978,2,0.11814677192612255,17.733344390656644,0.29507307933511134,1,0
T20_10_2021,20,10,34.94,n/s,Tampico,46.575446009389665,t1,1,3.5536323047059106,3.8410734925961685,97,0,0,0,0.07077797917487916,18.09270608517989,0,0,0
T20_10_2021,20,10,164.48,shrink,Tampico,139.72683098591548,t1,1,5.102788982266801,4.9396893092811425,98,1,1.6339997507940816,2,1.2029069883259147,19,2.3534800614520823,2,2
T20_11_2021,20,11,29.07,n/s,Tampico,26.87657276995305,t1,1,3.3697067145707846,3.2912550064081723,99,0,0,0,2.6057632576118497,17,0,0,0
T20_11_2021,20,11,66.99,n/s,Tampico,36.33342723004695,t1,1,4.204543354520176,3.5927381778709133,100,0,0,0,0.3058229462073919,17.09316757284979,0,0,0
T20_11_2021,20,11,109.5,shrink,Tampico,75.51044600938968,t1,1,4.695924549256556,4.32427100442469,101,1,1.5037148449404232,2,0.7512563104499266,18.978843501450285,0.9774257450180218,0,1
T20_11_2021,20,11,114.33,n/s,Tampico,67.65969483568074,t1,1,4.739089003553879,4.214490653080504,102,1,1.5175368367590338,2,1.0335781400565207,19,1.405623136758543,1,1
T20_12_2021,20,12,61.81,n/s,Tampico,33.321150234741786,t1,1,4.124065163671182,3.5061923375534048,103,0,0,0,1.2781694542124589,17,0,0,0
T20_12_2021,20,12,69.24,n/s,Tampico,71.63906103286385,t1,1,4.237578730308009,4.271640470362673,104,0,0,0,1.1937267719149511,17,0,0,0
T20_12_2021,20,12,260.84,n/s,Tampico,260.3773239436619,t1,1,5.563907192525002,5.562131824913027,105,1,1.7816576381311753,2,0.9346091647225836,17,2.5945672113465514,2,3
T22_33_2021,22,33,55.39,n/s,Tampico,48.11570422535211,t1,1,4.014399072045013,3.8736086149966327,106,0,0,0,0.761378853221916,19,0,0,0
T22_33_2021,22,33,61.79,n/s,Tampico,49.98319248826291,t1,1,4.123741539072888,3.9116867986822497,107,0,0,0,0.17792923296597352,17.724402119607593,0,0,0
T22_34_2021,22,34,28.38,n/s,Tampico,10.671855670103092,t1,1,3.3456846717318967,2.3676099649160633,108,0,0,0,0.6461069742002564,17.692405832576735,0,0,0
T22_34_2021,22,34,54.14,n/s,Tampico,50.98670103092784,t1,1,3.9915732841861553,3.9315648346200023,109,0,0,0,0.7340353259082926,19,0,0,0
T22_34_2021,22,34,110.41,n/s,Tampico,81.8120618556701,t1,1,4.704200709451046,4.404424688186505,110,1,1.5063650120828083,2,0.9404407909639981,17.607993258737416,1.1446204698782398,1,1
T22_34_2021,22,34,133.12,n/s,Tampico,151.88927835051547,t1,1,4.8912509770728985,5.023151823506344,111,0,0,0,0.7269966441623026,19,0,0,0
T22_34_2021,22,34,159.12,shrink,Tampico,133.33670103092783,t1,1,5.069658634545717,4.8928775158528595,112,1,1.6233908504244794,2,0.756422728041603,19,1.431708876969254,2,1
T22_35_2021,22,35,16.13,shrink,Tampico,7.181855670103092,t1,1,2.7806808921371173,1.9715577995427997,113,0,0,0,1.8104416312113503,18.82749871331743,0,0,0
T22_35_2021,22,35,127.03,n/s,Tampico,72.79927835051546,t1,1,4.844423279035369,4.287706042385864,114,1,1.5512666618576156,2,0.7611627520482221,17.54861023822513,1.0622783519258163,0,1
T22_35_2021,22,35,156.14,shrink,Tampico,100.08051546391752,t1,1,5.050753040692145,4.605975016664152,115,0,0,0,0.6549339366743211,17.400428323664322,0,0,0
T22_36_2021,22,36,76.86,n/s,Tampico,56.476549295774646,t1,1,4.3419855851366975,4.0338254952805634,116,0,0,0,0.5578944997845563,18.90991802108682,0,0,0
T23_45_2021,23,45,25.13,n/s,Tampico,15.925979381443298,t1,1,3.2240623515555007,2.7679516991868764,117,0,0,0,0.5553807332123806,17.82651842563602,0,0,0
T23_45_2021,23,45,79.36,shrink,Tampico,55.25494845360824,t1,1,4.373994462976618,4.011957901158367,118,1,1.4006273603153276,1,1.5296752445979722,17.890211086008854,1.3596531696776366,0,1
T23_45_2021,23,45,128.68,shrink,Tampico,101.62484536082474,t1,1,4.857328702370825,4.621288046202116,119,1,1.5553991977291384,2,1.1298516543008308,19,1.7294095630422535,2,2
T23_45_2021,23,45,136.66,shrink,Tampico,109.36402061855671,t1,1,4.917496089352632,4.694681956723024,120,1,1.5746658175474106,2,2.7564749440008764,18.984939090684005,4.477302635988744,6,4
T23_47_2021,23,47,17.05,n/s,Tampico,11.488453608247422,t1,1,2.8361502037295256,2.4413424969239226,121,0,0,0,0.6525041516606934,17,0,0,0
T23_48_2021,23,48,0.81,n/s,Tampico,1.9990721649484537,t1,1,-0.21072103131565253,0.6926831553911439,122,0,0,0,0.00259704279797357,18.717770181046756,0,0,0
T23_48_2021,23,48,222.2,n/s,Tampico,258.97845360824743,t1,1,5.40357787720553,5.556744867537252,123,1,1.730317466670543,2,0.11362100090837479,19,0.3003087895156565,0,0
T24_31_2021,24,31,16.49,n/s,Tampico,21.509690721649484,t1,1,2.8027541365715076,3.068503564824316,124,0,0,0,0.3730471559952352,19,0,0,0
T24_31_2021,24,31,16.99,n/s,Tampico,12.482061855670104,t1,1,2.8326249356838407,2.52429256208923,125,0,0,0,0.6943484476331006,17.65956695295932,0,0,0
T35_01_2021,35,1,85.53,n/s,Tampico,94.5950234741784,t1,1,4.44886719159269,4.549604868692889,126,1,1.4246028804328745,1,1.4877492356900186,18.651568288664777,1.485851269478468,1,1
T35_01_2021,35,1,91.21,n/s,Tampico,85.64931924882629,t1,1,4.513164540192067,4.4502612766804726,127,1,1.4451919841471792,1,0.35256185054628963,17,0.3422460711417507,1,0
T35_03_2021,35,3,19.35,n/s,Tampico,18.159037558685448,t1,1,2.962692419475791,2.8991683738989664,128,0,0,0,1.372492717132669,17,0,0,0
T37_19_2021,37,19,84.9,shrink,Tampico,60.849999999999994,t1,1,4.441474093317302,4.108411819433536,129,1,1.4222354847240648,1,0.3386974872329563,19,0.34204641505033534,3,0
